defect,real_mean_area_ratio,old_synthetic_mean_area_ratio,new_synthetic_mean_area_ratio,old_area_abs_error,new_area_abs_error,dice_before,dice_after,dice_gain
tile/gray_stroke,0.04214197024703026,0.01757674291729927,0.045815762132406235,0.024565227329730988,0.0036737918853759766,0.00216,0.840876,0.8387159999999999
tile/crack,0.022131435907696412,0.0069980867346938775,0.015148242630385486,0.015133349173002535,0.006983193277310926,0.611994,0.758863,0.14686899999999992
wood/scratch,0.07444399879092262,0.0020303249359130858,0.045950460433959964,0.07241367385500953,0.028493538356962653,0.024654,0.340451,0.315797
leather/cut,0.004990025570518092,0.002031230926513672,0.003724956512451172,0.0029587946440044204,0.0012650690580669204,0.021488,0.406403,0.384915
leather/fold,0.025107776417451745,0.05690770149230957,0.015328311920166015,0.03179992507485783,0.00977946449728573,0.097195,0.487299,0.390104
