experiment_name,role,default_threshold,default_pixel_precision,default_pixel_recall,default_pixel_f1,best_threshold,best_threshold_precision,best_threshold_recall,best_threshold_f1,best_postprocess_threshold,best_postprocess_min_area_ratio,best_postprocess_precision,best_postprocess_recall,best_postprocess_f1,threshold_f1_gain,postprocess_f1_gain
leather stage11 precision cut fixed,overall_best,0.5000000000000001,0.8751581397702546,0.32818430241384544,0.4773589853292297,0.05,0.7997179125528914,0.3873538788522848,0.5219125543339299,0.05,0.0,0.7997179125528914,0.3873538788522848,0.5219125543339299,0.0445535690047002,0.0445535690047002
leather stage12 fold fixed,diagnostic_tradeoff,0.5000000000000001,0.20040778040519666,0.6770912403218461,0.3092752228766583,0.9500000000000002,0.2991618130227001,0.6082245331713982,0.40105861154211925,0.95,0.001,0.325591370850465,0.5905761348109914,0.419762744555871,0.09178338866546093,0.11048752167921266
