source,count,mean_area_ratio,mean_inside_gray,mean_outside_gray,mean_inside_minus_outside
real,16,0.04214197024703026,62.52555847167969,108.10067749023438,-45.57512664794922
old_traditional,20,0.01757674291729927,86.45167541503906,120.0360107421875,-33.58433151245117
old_diffusion,10,0.01779719442129135,93.78367614746094,119.41618347167969,-25.632518768310547
fixed_traditional,20,0.045815762132406235,72.46485900878906,119.01541900634766,-46.550559997558594
fixed_diffusion,10,0.04372689872980118,73.96914672851562,117.49311828613281,-43.523963928222656
