threshold,pixel_precision,pixel_recall,pixel_f1,pixel_iou
0.05,0.7997179125528914,0.3873538788522848,0.5219125543339299,0.35309991696650983
0.060000000000000005,0.8056121023430328,0.38300819796569,0.5191835264762249,0.3506062606399611
0.07,0.8104007788414733,0.3791179596174283,0.5165744427780938,0.3482307826390099
0.08000000000000002,0.8139257676024497,0.37577804766965234,0.514170723790977,0.34604966534435455
0.09000000000000001,0.8169921063564604,0.37317822984666765,0.512336190501003,0.34438976550323114
0.1,0.8198849078002268,0.3704076210718081,0.5102806425891795,0.34253474659553557
0.11000000000000001,0.8226538314744922,0.3681304083801427,0.508646118751393,0.34106332852772603
0.12000000000000001,0.8251882916809312,0.3659291027781995,0.507020403870425,0.3396030362269069
0.13,0.8272797860408938,0.3639365416729923,0.5054956640923588,0.3382363315696649
0.14,0.829912150995912,0.3621337482920905,0.5042409829567974,0.3371137845142827
0.15000000000000002,0.832143639150427,0.36059662972521633,0.5031576438813203,0.3361460489306374
0.16000000000000003,0.8344280361472338,0.35921132533778655,0.502222045342991,0.33531141500743994
0.17000000000000004,0.8364629111732588,0.35757932290875966,0.5009903885779615,0.33421426037601987
0.18000000000000005,0.8380489111031775,0.3563648094732048,0.5000798892202812,0.33340434975588107
0.19,0.8400592539390402,0.35513131926521935,0.4992197190988756,0.3326401109155868
0.2,0.8417798637122614,0.35397373614695615,0.49837686193307057,0.3318921034838618
0.21000000000000002,0.8437301371106873,0.3526643388492485,0.4974170926902385,0.3310413623570487
0.22000000000000003,0.8451436388508892,0.35171550022772124,0.4967169619167583,0.33042145047422095
0.23000000000000004,0.8467283724340176,0.3506717777440413,0.49594739667203436,0.3297407255402295
0.24000000000000005,0.8484220225754434,0.3494572643084864,0.4950202282227389,0.32892151609330905
0.25000000000000006,0.8497706953258906,0.34810991346591774,0.49389496923926063,0.32792863655052823
0.26000000000000006,0.8511865984178688,0.3471231212995294,0.4931388671717035,0.3272623179589938
0.27,0.8531282147199102,0.34623121299529375,0.49256229583434563,0.3267546608879417
0.28,0.8541197447447447,0.3454341885532109,0.4919197924548698,0.3261894095511155
0.29000000000000004,0.8554381662107349,0.3441817215727949,0.4908657879780238,0.32526317677229605
0.30000000000000004,0.8564056434049806,0.3432708364961287,0.49009726624942423,0.3245886342837661
0.31000000000000005,0.8578014352929993,0.34251176559890695,0.4895507004624544,0.3241093233730786
0.32000000000000006,0.8587298560122056,0.3417906482465462,0.4889643002579068,0.3235954652437162
0.33,0.8597339203675345,0.34091771671474114,0.48823241656701816,0.3229546802811584
0.34,0.8606628242074928,0.34004478518293607,0.48748571739485275,0.32230156303397667
0.35000000000000003,0.8617164898746383,0.3391528768787005,0.48673675036766717,0.3216471096393348
0.36000000000000004,0.8624274661508704,0.3384507362987703,0.4861262538159617,0.3211141319025585
0.37000000000000005,0.8631951858681938,0.33753985122210417,0.485307358598674,0.3203998919211024
0.38000000000000006,0.8642672770661861,0.3367618035524518,0.4846713733630119,0.31984571850837196
0.39000000000000007,0.8651817116060961,0.33611659328981325,0.484146074786792,0.3193883439122908
0.4000000000000001,0.866055675357773,0.3353385456201609,0.48347469220246236,0.31880423604972125
0.4100000000000001,0.8670207534179207,0.3345604979505086,0.48281528139120916,0.31823104693140797
0.42000000000000004,0.8677645202642738,0.3339911947775922,0.48233714270053984,0.31781573910217054
0.43000000000000005,0.8684080340358168,0.33311826324578714,0.48152516801536144,0.31711106293807356
0.44000000000000006,0.8692071052892726,0.33243509943828753,0.4809334248455731,0.3165979903130196
0.45000000000000007,0.8706046418966032,0.33171398208592684,0.48039134855855115,0.31612833218794084
0.4600000000000001,0.8713222438683251,0.33101184150599666,0.4797634600838891,0.3155847445361123
0.4700000000000001,0.8722871034033381,0.33025277060877484,0.47911131911847704,0.3150206357251466
0.4800000000000001,0.8734730809832605,0.32974039775315017,0.47875022386311983,0.31470849256515676
0.49000000000000005,0.8741114192084699,0.3290192804007894,0.4780852325212668,0.31413403873679635
0.5000000000000001,0.8751581397702546,0.32818430241384544,0.4773589853292297,0.3135072421731958
0.5100000000000001,0.8762315896394108,0.3274062547441931,0.4766943884176498,0.3129341773529465
0.5200000000000001,0.8770571151984511,0.32666616061940185,0.47603113808885145,0.3123627719610227
