experiment,train_samples,test_samples,pixel_precision,pixel_recall,pixel_f1,pixel_dice,pixel_iou,best_pixel_f1,image_precision,image_recall,image_f1
traditional,100,117,0.40432988529918745,0.9049628278964963,0.5589330983296041,0.5589330983296041,0.38786061749230616,0.6179455376516864,0.7636363636363637,1.0,0.865979381443299
diffusion,50,117,0.8767851776357911,0.7460696893553623,0.8061630875506833,0.8061630875506833,0.6752706999959747,0.8096807852836605,0.9230769230769231,1.0,0.9600000000000001
combined,150,117,0.936251780232127,0.7906002386723295,0.8572835110428382,0.8572835110428382,0.7502154027944337,0.8718784699156796,0.9032258064516129,1.0,0.9491525423728813
