threshold,pixel_precision,pixel_recall,pixel_f1,pixel_iou
0.05,0.13670377417431062,0.7307955063002884,0.230322966507177,0.13014971780053397
0.060000000000000005,0.14041949531531794,0.7269432214968878,0.2353732718894009,0.1333841702269902
0.07,0.14381337672708644,0.724514194625778,0.23998969111046858,0.13635698035308025
0.08000000000000002,0.1468184640541781,0.7224267496584181,0.24404065527951305,0.13897853387850467
0.09000000000000001,0.14943239559781624,0.7199218156975862,0.24749323156212283,0.14122241124508159
0.1,0.1517962834408067,0.7178723242750873,0.2506020105662377,0.14325042790711764
0.11000000000000001,0.15397137541614989,0.7161644147563383,0.2534519811954332,0.14511595356474058
0.12000000000000001,0.15607413117172672,0.7146842265067558,0.2561990217620528,0.14691987500828987
0.13,0.15796507034677515,0.713336875664187,0.2586527213926925,0.14853597818785316
0.14,0.15972455849725112,0.7117618035524518,0.26090101871528487,0.15002079900164791
0.15000000000000002,0.1613490160909232,0.7101487778958555,0.2629537501581011,0.15137982087813404
0.16000000000000003,0.163044284548624,0.7090860786397449,0.26512649313698017,0.15282180060284573
0.17000000000000004,0.1645752810575175,0.707833611659329,0.26705806543996563,0.15410675921335318
0.18000000000000005,0.16602153031100328,0.7064862608167602,0.268861622457012,0.15530914567246118
0.19,0.1674169809875308,0.7050060725671777,0.2705797096171564,0.15645688391759177
0.2,0.1687379692285289,0.7036587217246091,0.2722017287892969,0.1575425403097317
0.21000000000000002,0.1700626203132394,0.7024442082890542,0.27383052778363426,0.15863478771411796
0.22000000000000003,0.17133016252700284,0.7013625322605131,0.27538801999895685,0.15968114752327667
0.23000000000000004,0.17252597775939196,0.7004136936389859,0.27685660599559686,0.16066951070868885
0.24000000000000005,0.17368351590339184,0.6992561105207227,0.2782535151707369,0.1616111998035122
0.25000000000000006,0.17482029086037087,0.6982693183543343,0.2796314239574428,0.1625415785033064
0.26000000000000006,0.17594002969775352,0.6970358281463489,0.28096196063732953,0.16344138652190357
0.27,0.17714081562697642,0.6962767572491271,0.28242855768305586,0.16443482391746664
0.28,0.178289028704339,0.6953089418551692,0.283805503379098,0.1653690790512942
0.29000000000000004,0.179373032760362,0.6942841961439199,0.2850908977565826,0.16624257074828697
0.30000000000000004,0.18049799704619884,0.6934492181569759,0.28643879802623584,0.16715994602136272
0.31000000000000005,0.18155357196166821,0.6924434492181569,0.28767965688786573,0.16800574614736474
0.32000000000000006,0.18256660536851546,0.6914187035069076,0.28886061197065016,0.16881185366396087
0.33,0.18366677599212858,0.6907545164718385,0.2901774147902791,0.16971200246175652
0.34,0.18472136844190878,0.6899954455746167,0.29142438074322835,0.17056569077697456
0.35000000000000003,0.18570464031426467,0.6889706998633672,0.29255439161966157,0.17134038717471944
0.36000000000000004,0.18670071459461685,0.6881736754212844,0.2937164887499392,0.17213815102436061
0.37000000000000005,0.18774383072642775,0.6876613025656596,0.2949586706225657,0.17299209440879926
0.38000000000000006,0.18877449906645388,0.6868832548960073,0.2961568986818743,0.17381700137340209
0.39000000000000007,0.18982298097517955,0.6861811143160771,0.297379761826436,0.17466006520951577
0.4000000000000001,0.19082868374334264,0.6853840898739942,0.2985369482559101,0.1754589662995584
0.4100000000000001,0.19172796462434627,0.6845680886594808,0.29955822759582806,0.1761649428150058
0.42000000000000004,0.19269504570276355,0.6836951571276757,0.300652994805249,0.1769226614023974
0.43000000000000005,0.1936416184971098,0.682765295278579,0.30171322191381056,0.1776574049842237
0.44000000000000006,0.1946458449525934,0.6821580385608016,0.3028709847288046,0.17846078995968784
0.45000000000000007,0.19562434286150107,0.6814369212084409,0.3039825275018306,0.17923313434623755
0.4600000000000001,0.1965729508690957,0.6805260361317748,0.3050351512161512,0.17996547328696316
0.4700000000000001,0.19750431478938865,0.6797100349172612,0.30607265999854727,0.18068818701414008
0.4800000000000001,0.19844312639749656,0.6787232427508729,0.3070978710250763,0.18140320445519698
0.49000000000000005,0.1993849794342034,0.6779641718536511,0.3081461291978075,0.1821351917655276
0.5000000000000001,0.20040778040519666,0.6770912403218461,0.3092752228766583,0.1829246409950116
0.5100000000000001,0.20146145455983996,0.6764839836040686,0.31046450359906463,0.18375731333281786
0.5200000000000001,0.20239062846359776,0.6757249127068469,0.3114860934335813,0.18447351379355006
0.5300000000000001,0.20337645854891176,0.6750797024442083,0.31258320043231275,0.1852436223892022
0.5400000000000001,0.20437103770437104,0.6741498405951116,0.3136560687262165,0.1859976858275261
0.5500000000000002,0.20529575182312768,0.6731250948838622,0.31463215597225425,0.18668456093260705
0.5600000000000002,0.2063532727039836,0.6725747684833764,0.31581198485186013,0.18751587234402778
0.5700000000000002,0.20726878697358403,0.6715310459996964,0.31676707276682214,0.1881896840549035
0.5800000000000002,0.20823460064839375,0.6703924396538636,0.31776600433558505,0.18889524593757853
