experiment,train_samples,test_samples,pixel_precision,pixel_recall,pixel_f1,pixel_dice,pixel_iou,best_pixel_f1,image_precision,image_recall,image_f1
traditional,100,117,0.48825765476038296,0.6723888728291566,0.5657174795781472,0.5657174795781472,0.39442541586002017,0.6061821506977166,0.717948717948718,1.0,0.835820895522388
diffusion,50,117,0.6331376125420779,0.7455063633600914,0.6847425837027405,0.6847425837027405,0.5206148813290422,0.6898133526530829,0.7241379310344828,1.0,0.8400000000000001
combined,150,117,0.8912688047448839,0.6727539228984605,0.7667466388453595,0.7667466388453595,0.6217267781273172,0.7835659943116149,0.8210526315789474,0.9285714285714286,0.8715083798882681
