stage,data_setting,experiment,train_samples,test_samples,pixel_precision,pixel_recall,pixel_f1,pixel_dice,pixel_iou,best_pixel_f1,image_precision,image_recall,image_f1
stage5_small,traditional,traditional,25,117,0.07250096109847257,0.9917780347334949,0.13512408117821262,0.13512408117821262,0.0724574111416393,0.1385398473460488,0.717948717948718,1.0,0.835820895522388
stage5_small,diffusion,diffusion,15,117,0.6998930509790333,0.3892656749164276,0.5002839978804351,0.5002839978804351,0.3335858236982057,0.5101990907939613,0.7735849056603774,0.9761904761904762,0.863157894736842
stage5_small,combined,combined,40,117,0.7861870711295598,0.8275759192961389,0.8063507367425166,0.8063507367425166,0.6755340631149686,0.818423032596593,0.7567567567567568,1.0,0.8615384615384616
stage6_expanded,traditional,traditional,100,117,0.48825765476038296,0.6723888728291566,0.5657174795781472,0.5657174795781472,0.39442541586002017,0.6061821506977166,0.717948717948718,1.0,0.835820895522388
stage6_expanded,diffusion,diffusion,50,117,0.6331376125420779,0.7455063633600914,0.6847425837027405,0.6847425837027405,0.5206148813290422,0.6898133526530829,0.7241379310344828,1.0,0.8400000000000001
stage6_expanded,combined,combined,150,117,0.8912688047448839,0.6727539228984605,0.7667466388453595,0.7667466388453595,0.6217267781273172,0.7835659943116149,0.8210526315789474,0.9285714285714286,0.8715083798882681
stage6_filtered,filtered_combined,combined,150,117,0.8912688047448839,0.6727539228984605,0.7667466388453595,0.7667466388453595,0.6217267781273172,0.7835659943116149,0.8210526315789474,0.9285714285714286,0.8715083798882681
