experiment,train_samples,test_samples,pixel_precision,pixel_recall,pixel_f1,pixel_dice,pixel_iou,best_pixel_f1,image_precision,image_recall,image_f1
traditional,25,117,0.07250096109847257,0.9917780347334949,0.13512408117821262,0.13512408117821262,0.0724574111416393,0.1385398473460488,0.717948717948718,1.0,0.835820895522388
diffusion,15,117,0.6998930509790333,0.3892656749164276,0.5002839978804351,0.5002839978804351,0.3335858236982057,0.5101990907939613,0.7735849056603774,0.9761904761904762,0.863157894736842
combined,40,117,0.7861870711295598,0.8275759192961389,0.8063507367425166,0.8063507367425166,0.6755340631149686,0.818423032596593,0.7567567567567568,1.0,0.8615384615384616
